,Horodateur,Boutique,code postal,Depuis combien de temps êtes vous un client de la Maison Pariès ?,A quelle fréquence venez-vous nous rendre visite ?,Comment nous avez-vous connus ?,"En 2 mots, comment définiriez-vous la Maison ?",A quelle(s) occasion(s) effectuez-vous des achats chez nous,Quel est le produit que vous préférez ?,Quel est le dernier produit de la gamme Pariès que vous connaissez ?,8. Quels sont les produits de nos gammes que vous achetez chez d’autres artisans ?,Pourquoi ?,Où achetez-vous nos produits ?,Avez-vous déjà eu l’occasion de commander nos produits sur notre site en ligne ?,"Si vous n'êtes pas de la région, aimeriez-vous pouvoir trouver nos produits à proximité de votre domicile ?",Pourquoi ?.1,Que devons-nous faire pour progresser ?,"14. Dans les grandes évolutions de la consommation, quelles sont les 3 qui vous tiennent le plus à cœur ?",Sexe,Quelle est votre catégorie socio-professionnelle ?,Tranche d'âge,de combien de personnes se compose votre foyer ?,"S'il y a des enfants dans votre foyer, quel âge ont-ils ?",Êtes-vous abonné à notre newsletter ?,"Si non, confiez-moi votre adresse mail pour recevoir notre actualité (moins de 10 mails par an)"
0,2022-06-08,St Jean,31410,Depuis quelques années,visite exceptionnelle,bouche à oreille,Accueillant,pour me faire plaisir; pour régaler ma famille,Gateau basque,Je ne sais pas,Gateau basque,Proximité,Toujours dans la même boutique,Non,Non,Associé à la région,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques);  Alimentation santé bien être et transparence; Tradition et authenticité",Femme,Retraité,65 et +,2.0,,Non,
1,2022-06-08,St Jean,64500,Depuis toujours,visite exceptionnelle,"avec vos parents, votre famille",Bon; Fiable,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Pâtisseries,Pâtisseries Béret basque,Aucun,,Toujours dans la même boutique,Non,,,Je ne sais pas,Alimentation santé bien être et transparence,Femme,Retraité,65 et +,2.0,,Non,
2,2022-06-08,St Jean,62400,Depuis quelques années,visite mensuelle,par hasard en passant devant,Plaisant,pour me faire plaisir,Gateau basque chocolat,Viennoiseries Tortillon,Viennoiseries,Trop de monde,Toujours dans la même boutique,Non,,,Gateau basque plus épais,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,25/34,2.0,,Non,**********
3,2022-06-08,St Jean,33820,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Alléchant,pour me faire plaisir; pour faire un cadeau,Viennoiseries Royal Amande,Gateau basque,Gateau basque,Gateau basque plus épais ailleurs,Toujours dans la même boutique,Non,oui,Se faire plaisir plus souvent,Gateau basque plus épais,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Homme,Retraité,50/64,2.0,,Non,
4,2022-06-08,St Jean,64210,Depuis quelques années,visite exceptionnelle,par hasard en passant devant; bouche à oreille,Savoureux; Raffiné,pour me faire plaisir; pour faire un cadeau,Mouchous amande,Gateau basque aux agrumes,Gateau basque; Chocolat,Prix,En fonction de l'endroit où je me trouve,Non,,,Baisser les prix; Diversifier les parfums de glaces au chariot,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Faire soi-même",Femme,Employé,25/34,2.0,,Non,
5,2022-06-08,St Jean,33140,Depuis quelques années,visite exceptionnelle,bouche à oreille,Belle; Réputée,pour me faire plaisir; pour régaler ma famille; quand je reçois du monde ou quand je suis invitée,Gateau basque cerise,Je ne sais pas,Gateau basque,Proximité,Toujours dans la même boutique,Non,,,Améliorer l'accueil,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Cadre et profession intellectuelle supérieure,50/64,4.0,plus de 15 ans,Non,
6,2022-06-08,St Jean,32260,Depuis toujours,visite exceptionnelle,par hasard en passant devant,Savoureux; Tradition,pour me faire plaisir,Viennoiseries Feuillantine; Viennoiseries Financier,,Viennoiseries Financier,Proximité,Toujours dans la même boutique,Non,oui,Pâtisseries,Service plus rapide,Tradition et authenticité,Femme,Profession libérale,50/64,2.0,,Non,
7,2022-06-08,St Jean,12161,Depuis moins d'un an,visite exceptionnelle,par hasard en passant devant; bouche à oreille,Savoureux,pour faire un cadeau,Je ne sais pas,Je ne sais pas,Je ne sais pas,,Toujours dans la même boutique,Non,oui,Gateau basque,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Tradition et authenticité",Femme,Etudiant,18/24,3.0,,Non,
8,2022-06-08,St Jean,87100,Depuis quelques années,visite exceptionnelle,par hasard en passant devant; bouche à oreille,Colorée; Sucrée,pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Mouchous; Espelines,Je ne sais pas,Chocolat,Proximité,En fonction de l'endroit où je me trouve,oui,oui,Mouchous,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Tradition et authenticité",Femme,Employé,35/49,4.0,plus de 15 ans,Oui,
9,2022-06-08,St Jean,33500,C’est une de mes premières visites,C'est la première fois !,par hasard en passant devant,Accueillant; Attrayant,pour me faire plaisir,,,,,,Non,,,,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Consommation économe (recherche de bonnes affaires, de prix bas, de promotions…)",Femme,Retraité,65 et +,2.0,,Non,
10,2022-06-08,St Jean,29910,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Variété; Bon,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Gateau basque crème,Je ne sais pas,Chocolat,Proximité,En fonction de l'endroit où je me trouve,Non,Non,Spécialités variées chez soi,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité;  Consommation économe (recherche de bonnes affaires, de prix bas, de promotions…)",Femme,Retraité,65 et +,1.0,,Non,
11,2022-06-08,St Jean,64100,Depuis toujours,visite exceptionnelle,"avec vos parents, votre famille",Belle; Attrayant,pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Touron,Touron au piment d'Espelette,Gateau basque,Bon aussi ailleurs,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Cadre et profession intellectuelle supérieure,50/64,2.0,,Non,
12,2022-06-08,St Jean,64200,Depuis toujours,visite exceptionnelle,par hasard en passant devant,Belle; Raffiné,pour me faire plaisir; pour régaler ma famille,Chocolat,Je ne sais pas,Chocolat,Meilleur ailleurs,En fonction de l'endroit où je me trouve,oui,,,Je ne sais pas,"Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Cadre et profession intellectuelle supérieure,50/64,2.0,,Non,
13,2022-06-08,St Jean,64122,Depuis toujours,visite mensuelle,"avec vos parents, votre famille",Tradition; Bon,pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Pâtisseries Fraisier,Je ne sais pas,Viennoiseries Chocolatine,Proximité,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Homme,Etudiant,15/17,5.0,"entre 11 et 15 ans, plus de 15 ans",Non,
